n,Team,Year,# Foreign Players,Wins,Losses,W/L Ratio,Net Wins,Total Foreign Players,ORtg,DRtg,NetRtg,Rel ORtg,Rel DRtg,Top 3 Win,Top 3 Foreign,% Foreign,location
264,Phoenix Suns,2013,4,25,57,0.44,-32,,101.2,108.1,-6.9,-4.7,2.2,,,,W
265,Portland Trail Blazers,2013,4,33,49,0.67,-16,,105.8,109.2,-3.4,-0.1,3.3,,,,W
266,Sacramento Kings,2013,1,28,54,0.52,-26,,106.2,111.4,-5.2,0.3,5.5,,,,W
267,San Antonio Spurs,2013,9,58,24,2.42,34,,108.3,101.6,6.7,2.4,-4.3,,,,W
268,Toronto Raptors,2013,5,34,48,0.71,-14,,105.9,107.5,-1.6,0,1.6,,,,E
269,Utah Jazz,2013,1,43,39,1.1,4,,106.7,106.8,-0.1,0.8,0.9,,,,W
270,Washington Wizards,2013,3,29,53,0.55,-24,,100.2,103,-2.8,-5.7,-2.9,,,,E
271,Atlanta Hawks,2012,3,40,26,1.54,14,,104.9,101.2,3.7,0.3,-3.4,,,,E
272,Boston Celtics,2012,2,39,27,1.44,12,,101,98.2,2.8,-3.6,-6.4,,,,E
273,Brooklyn Nets,2012,2,7,59,0.12,-52,,102.9,109.6,-6.7,-1.7,5,,,,E
274,Charlotte Hornets,2012,4,50,16,3.13,34,,95.2,110.4,-15.2,-9.4,5.8,,,,E
275,Chicago Bulls,2012,3,21,45,0.47,-24,,107.4,98.3,9.1,2.8,-6.3,,,,E
276,Cleveland Cavaliers,2012,7,36,30,1.2,6,,101.1,108.9,-7.8,-3.5,4.3,,,,E
277,Dallas Mavericks,2012,5,38,28,1.36,10,,103.3,102.3,1,-1.3,-2.3,,,,W
278,Denver Nuggets,2012,4,25,41,0.61,-16,,109.2,106.2,3,4.6,1.6,,,,W
279,Detroit Pistons,2012,2,23,43,0.53,-20,,101,106.3,-5.3,-3.6,1.7,,,,E
280,Golden State Warriors,2012,1,34,32,1.06,2,,105.4,109.1,-3.7,0.8,4.5,,,,W
281,Houston Rockets,2012,4,42,24,1.75,18,,105.5,105.2,0.3,0.9,0.6,,,,W
282,Indiana Pacers,2012,2,40,26,1.54,14,,106.7,103.1,3.6,2.1,-1.5,,,,E
283,Los Angeles Clippers,2012,0,41,25,1.64,16,,108.5,105.7,2.8,3.9,1.1,,,,W
284,Los Angeles Lakers,2012,2,41,25,1.64,16,,106,104.4,1.6,1.4,-0.2,,,,W
285,Memphis Grizzlies,2012,2,46,20,2.3,26,,104,101.8,2.2,-0.6,-2.8,,,,W
286,Miami Heat,2012,2,31,35,0.89,-4,,106.6,100.2,6.4,2,-4.4,,,,E
287,Milwaukee Bucks,2012,5,26,40,0.65,-14,,105.5,105.2,0.3,0.9,0.6,,,,E
288,Minnesota Timberwolves,2012,4,22,44,0.5,-22,,104.3,106.6,-2.3,-0.3,2,,,,W
289,New Orleans Pelicans,2012,4,21,45,0.47,-24,,100.9,105.1,-4.2,-3.7,0.5,,,,W
290,New York Knicks,2012,2,36,30,1.2,6,,104.4,101,3.4,-0.2,-3.6,,,,E
291,Oklahoma City Thunder,2012,2,47,19,2.47,28,,109.8,103.2,6.6,5.2,-1.4,,,,W
292,Orlando Magic,2012,1,37,29,1.28,8,,105,104.1,0.9,0.4,-0.5,,,,E
293,Philadelphia 76ers,2012,3,35,31,1.13,4,,103.9,99.2,4.7,-0.7,-5.4,,,,E
294,Phoenix Suns,2012,2,33,33,1,0,,106.2,106.5,-0.3,1.6,1.9,,,,W
295,Portland Trail Blazers,2012,2,28,38,0.74,-10,,105.7,106.4,-0.7,1.1,1.8,,,,W
296,Sacramento Kings,2012,2,22,44,0.5,-22,,103.8,109.8,-6,-0.8,5.2,,,,W
297,San Antonio Spurs,2012,7,50,16,3.13,34,,110.9,103.2,7.7,6.3,-1.4,,,,W
298,Toronto Raptors,2012,7,23,43,0.53,-20,,100.8,104.5,-3.7,-3.8,-0.1,,,,E
299,Utah Jazz,2012,2,36,30,1.2,6,,106.8,106.1,0.7,2.2,1.5,,,,W
300,Washington Wizards,2012,5,20,46,0.43,-26,,101,106.2,-5.2,-3.6,1.6,,,,E
301,Atlanta Hawks,2011,3,44,38,1.16,6,,106.1,107,-0.9,-1.5,-0.3,,,,E
302,Boston Celtics,2011,4,56,26,2.15,30,,106.2,100.3,5.9,-1.4,-7,,,,E
303,Brooklyn Nets,2011,3,34,48,0.71,-14,,103.1,109.9,-6.8,-4.5,2.6,,,,E
304,Charlotte Hornets,2011,3,62,20,3.1,42,,103.4,107.8,-4.4,-4.2,0.5,,,,E
305,Chicago Bulls,2011,3,19,63,0.3,-44,,108.3,100.3,8,0.7,-7,,,,E
306,Cleveland Cavaliers,2011,4,57,25,2.28,32,,102.2,111.8,-9.6,-5.4,4.5,,,,E
307,Dallas Mavericks,2011,7,50,32,1.56,18,,109.7,105,4.7,2.1,-2.3,,,,W
308,Denver Nuggets,2011,4,30,52,0.58,-22,,112.3,107.3,5,4.7,0,,,,W
309,Detroit Pistons,2011,1,36,46,0.78,-10,,107.7,111.7,-4,0.1,4.4,,,,E
310,Golden State Warriors,2011,3,43,39,1.1,4,,108.2,110.7,-2.5,0.6,3.4,,,,W
311,Houston Rockets,2011,4,37,45,0.82,-8,,111.3,109,2.3,3.7,1.7,,,,W
312,Indiana Pacers,2011,0,32,50,0.64,-18,,104.8,106,-1.2,-2.8,-1.3,,,,E
313,Los Angeles Clippers,2011,0,57,25,2.28,32,,105.3,108.7,-3.4,-2.3,1.4,,,,W
314,Los Angeles Lakers,2011,2,46,36,1.28,10,,111,104.3,6.7,3.4,-3,,,,W
315,Memphis Grizzlies,2011,5,58,24,2.42,34,,107.6,105.1,2.5,0,-2.2,,,,W
316,Miami Heat,2011,4,35,47,0.74,-12,,111.7,103.5,8.2,4.1,-3.8,,,,E
